qualifying_groups,m75,m78,m79,m80,m81,m82,m85,m88
"B,D,E,F,G,H,J,K",3D,3F,3H,3K,3J,3B,3G,3E
"B,D,E,F,G,H,I,L",3D,3F,3E,3I,3H,3B,3G,3L
"B,D,E,F,G,H,I,K",3D,3F,3E,3K,3H,3B,3G,3I
"B,D,E,F,G,H,I,J",3D,3F,3H,3I,3J,3B,3G,3E
"B,C,G,H,I,J,K,L",3C,3G,3H,3K,3I,3B,3J,3L
"B,C,F,H,I,J,K,L",3C,3F,3H,3K,3I,3B,3J,3L
"B,C,F,G,I,J,K,L",3C,3F,3I,3K,3J,3B,3G,3L
"B,C,F,G,H,J,K,L",3C,3F,3H,3K,3J,3B,3G,3L
"B,C,F,G,H,I,K,L",3C,3F,3H,3K,3I,3B,3G,3L
"B,C,F,G,H,I,J,L",3C,3F,3H,3I,3J,3B,3G,3L
"B,C,F,G,H,I,J,K",3C,3F,3H,3K,3J,3B,3G,3I
"B,C,E,H,I,J,K,L",3C,3H,3E,3K,3I,3B,3J,3L
"B,C,E,G,I,J,K,L",3C,3G,3E,3K,3I,3B,3J,3L
"B,C,E,G,H,J,K,L",3C,3G,3E,3K,3H,3B,3J,3L
"B,C,E,G,H,I,K,L",3C,3H,3E,3K,3I,3B,3G,3L
"B,C,E,G,H,I,J,L",3C,3G,3E,3I,3H,3B,3J,3L
"B,C,E,G,H,I,J,K",3C,3G,3E,3K,3H,3B,3J,3I
"B,C,E,F,I,J,K,L",3C,3F,3E,3K,3I,3B,3J,3L
"B,C,E,F,H,J,K,L",3C,3F,3E,3K,3H,3B,3J,3L
"B,C,E,F,H,I,K,L",3C,3F,3E,3K,3H,3B,3I,3L
"B,C,E,F,H,I,J,L",3C,3F,3E,3I,3H,3B,3J,3L
"B,C,E,F,H,I,J,K",3C,3F,3E,3K,3H,3B,3J,3I
"B,C,E,F,G,J,K,L",3C,3F,3E,3K,3J,3B,3G,3L
"B,C,E,F,G,I,K,L",3C,3F,3E,3K,3I,3B,3G,3L
"B,C,E,F,G,I,J,L",3C,3F,3E,3I,3J,3B,3G,3L
"B,C,E,F,G,I,J,K",3C,3F,3E,3K,3J,3B,3G,3I
"B,C,E,F,G,H,K,L",3C,3F,3E,3K,3H,3B,3G,3L
"B,C,E,F,G,H,J,L",3C,3F,3H,3E,3J,3B,3G,3L
"B,C,E,F,G,H,J,K",3C,3F,3H,3K,3J,3B,3G,3E
"B,C,E,F,G,H,I,L",3C,3F,3E,3I,3H,3B,3G,3L
"B,C,E,F,G,H,I,K",3C,3F,3E,3K,3H,3B,3G,3I
"B,C,E,F,G,H,I,J",3C,3F,3H,3I,3J,3B,3G,3E
"B,C,D,H,I,J,K,L",3C,3D,3H,3K,3I,3B,3J,3L
"B,C,D,G,I,J,K,L",3C,3D,3I,3K,3J,3B,3G,3L
"B,C,D,G,H,J,K,L",3C,3D,3H,3K,3J,3B,3G,3L
"B,C,D,G,H,I,K,L",3C,3D,3H,3K,3I,3B,3G,3L
"B,C,D,G,H,I,J,L",3C,3D,3H,3I,3J,3B,3G,3L
"B,C,D,G,H,I,J,K",3C,3D,3H,3K,3J,3B,3G,3I
"B,C,D,F,I,J,K,L",3D,3F,3C,3K,3I,3B,3J,3L
"B,C,D,F,H,J,K,L",3D,3F,3C,3K,3H,3B,3J,3L
"B,C,D,F,H,I,K,L",3D,3F,3C,3K,3H,3B,3I,3L
"B,C,D,F,H,I,J,L",3D,3F,3C,3I,3H,3B,3J,3L
"B,C,D,F,H,I,J,K",3D,3F,3C,3K,3H,3B,3J,3I
"B,C,D,F,G,J,K,L",3D,3F,3C,3K,3J,3B,3G,3L
"B,C,D,F,G,I,K,L",3D,3F,3C,3K,3I,3B,3G,3L
"B,C,D,F,G,I,J,L",3D,3F,3C,3I,3J,3B,3G,3L
"B,C,D,F,G,I,J,K",3D,3F,3C,3K,3J,3B,3G,3I
"B,C,D,F,G,H,K,L",3D,3F,3C,3K,3H,3B,3G,3L
"B,C,D,F,G,H,J,L",3D,3F,3C,3J,3H,3B,3G,3L
"B,C,D,F,G,H,J,K",3C,3F,3H,3K,3J,3B,3G,3D
"B,C,D,F,G,H,I,L",3D,3F,3C,3I,3H,3B,3G,3L
"B,C,D,F,G,H,I,K",3D,3F,3C,3K,3H,3B,3G,3I
"B,C,D,F,G,H,I,J",3C,3F,3H,3I,3J,3B,3G,3D
"B,C,D,E,I,J,K,L",3C,3D,3E,3K,3I,3B,3J,3L
"B,C,D,E,H,J,K,L",3C,3D,3E,3K,3H,3B,3J,3L
"B,C,D,E,H,I,K,L",3C,3D,3E,3K,3H,3B,3I,3L
"B,C,D,E,H,I,J,L",3C,3D,3E,3I,3H,3B,3J,3L
"B,C,D,E,H,I,J,K",3C,3D,3E,3K,3H,3B,3J,3I
