qualifying_groups,m75,m78,m79,m80,m81,m82,m85,m88
"A,B,D,E,H,J,K,L",3D,3H,3E,3K,3A,3B,3J,3L
"A,B,D,E,H,I,K,L",3D,3H,3E,3K,3A,3B,3I,3L
"A,B,D,E,H,I,J,L",3D,3H,3E,3I,3A,3B,3J,3L
"A,B,D,E,H,I,J,K",3D,3H,3E,3K,3A,3B,3J,3I
"A,B,D,E,G,J,K,L",3D,3G,3E,3K,3A,3B,3J,3L
"A,B,D,E,G,I,K,L",3A,3D,3E,3K,3I,3B,3G,3L
"A,B,D,E,G,I,J,L",3D,3G,3E,3I,3A,3B,3J,3L
"A,B,D,E,G,I,J,K",3D,3G,3E,3K,3A,3B,3J,3I
"A,B,D,E,G,H,K,L",3D,3H,3E,3K,3A,3B,3G,3L
"A,B,D,E,G,H,J,L",3D,3G,3H,3E,3A,3B,3J,3L
"A,B,D,E,G,H,J,K",3D,3G,3H,3K,3A,3B,3J,3E
"A,B,D,E,G,H,I,L",3D,3H,3E,3I,3A,3B,3G,3L
"A,B,D,E,G,H,I,K",3D,3H,3E,3K,3A,3B,3G,3I
"A,B,D,E,G,H,I,J",3D,3G,3H,3I,3A,3B,3J,3E
"A,B,D,E,F,J,K,L",3D,3F,3E,3K,3A,3B,3J,3L
"A,B,D,E,F,I,K,L",3D,3F,3E,3K,3A,3B,3I,3L
"A,B,D,E,F,I,J,L",3D,3F,3E,3I,3A,3B,3J,3L
"A,B,D,E,F,I,J,K",3D,3F,3E,3K,3A,3B,3J,3I
"A,B,D,E,F,H,K,L",3D,3F,3H,3K,3A,3B,3E,3L
"A,B,D,E,F,H,J,L",3D,3F,3H,3E,3A,3B,3J,3L
"A,B,D,E,F,H,J,K",3D,3F,3H,3K,3A,3B,3J,3E
"A,B,D,E,F,H,I,L",3D,3F,3H,3I,3A,3B,3E,3L
"A,B,D,E,F,H,I,K",3D,3F,3H,3K,3A,3B,3E,3I
"A,B,D,E,F,H,I,J",3D,3F,3H,3I,3A,3B,3J,3E
"A,B,D,E,F,G,K,L",3D,3F,3E,3K,3A,3B,3G,3L
"A,B,D,E,F,G,J,L",3D,3F,3E,3J,3A,3B,3G,3L
"A,B,D,E,F,G,J,K",3D,3F,3E,3K,3A,3B,3G,3J
"A,B,D,E,F,G,I,L",3D,3F,3E,3I,3A,3B,3G,3L
"A,B,D,E,F,G,I,K",3D,3F,3E,3K,3A,3B,3G,3I
"A,B,D,E,F,G,I,J",3D,3F,3E,3J,3A,3B,3G,3I
"A,B,D,E,F,G,H,L",3D,3F,3H,3E,3A,3B,3G,3L
"A,B,D,E,F,G,H,K",3D,3F,3H,3K,3A,3B,3G,3E
"A,B,D,E,F,G,H,J",3D,3F,3H,3J,3A,3B,3G,3E
"A,B,D,E,F,G,H,I",3D,3F,3H,3I,3A,3B,3G,3E
"A,B,C,H,I,J,K,L",3C,3H,3I,3K,3A,3B,3J,3L
"A,B,C,G,I,J,K,L",3C,3G,3I,3K,3A,3B,3J,3L
"A,B,C,G,H,J,K,L",3C,3G,3H,3K,3A,3B,3J,3L
"A,B,C,G,H,I,K,L",3C,3H,3I,3K,3A,3B,3G,3L
"A,B,C,G,H,I,J,L",3C,3G,3H,3I,3A,3B,3J,3L
"A,B,C,G,H,I,J,K",3C,3G,3H,3K,3A,3B,3J,3I
"A,B,C,F,I,J,K,L",3C,3F,3I,3K,3A,3B,3J,3L
"A,B,C,F,H,J,K,L",3C,3F,3H,3K,3A,3B,3J,3L
"A,B,C,F,H,I,K,L",3C,3F,3H,3K,3A,3B,3I,3L
"A,B,C,F,H,I,J,L",3C,3F,3H,3I,3A,3B,3J,3L
"A,B,C,F,H,I,J,K",3C,3F,3H,3K,3A,3B,3J,3I
"A,B,C,F,G,J,K,L",3F,3G,3C,3K,3A,3B,3J,3L
"A,B,C,F,G,I,K,L",3C,3F,3I,3K,3A,3B,3G,3L
"A,B,C,F,G,I,J,L",3F,3G,3C,3I,3A,3B,3J,3L
"A,B,C,F,G,I,J,K",3F,3G,3C,3K,3A,3B,3J,3I
"A,B,C,F,G,H,K,L",3C,3F,3H,3K,3A,3B,3G,3L
"A,B,C,F,G,H,J,L",3C,3F,3H,3J,3A,3B,3G,3L
"A,B,C,F,G,H,J,K",3C,3F,3H,3K,3A,3B,3G,3J
"A,B,C,F,G,H,I,L",3C,3F,3H,3I,3A,3B,3G,3L
"A,B,C,F,G,H,I,K",3C,3F,3H,3K,3A,3B,3G,3I
"A,B,C,F,G,H,I,J",3C,3F,3H,3J,3A,3B,3G,3I
"A,B,C,E,I,J,K,L",3A,3C,3E,3K,3I,3B,3J,3L
"A,B,C,E,H,J,K,L",3C,3H,3E,3K,3A,3B,3J,3L
"A,B,C,E,H,I,K,L",3C,3H,3E,3K,3A,3B,3I,3L
"A,B,C,E,H,I,J,L",3C,3H,3E,3I,3A,3B,3J,3L
"A,B,C,E,H,I,J,K",3C,3H,3E,3K,3A,3B,3J,3I
"A,B,C,E,G,J,K,L",3C,3G,3E,3K,3A,3B,3J,3L
"A,B,C,E,G,I,K,L",3A,3C,3E,3K,3I,3B,3G,3L
"A,B,C,E,G,I,J,L",3C,3G,3E,3I,3A,3B,3J,3L
"A,B,C,E,G,I,J,K",3C,3G,3E,3K,3A,3B,3J,3I
"A,B,C,E,G,H,K,L",3C,3H,3E,3K,3A,3B,3G,3L
"A,B,C,E,G,H,J,L",3C,3G,3H,3E,3A,3B,3J,3L
"A,B,C,E,G,H,J,K",3C,3G,3H,3K,3A,3B,3J,3E
"A,B,C,E,G,H,I,L",3C,3H,3E,3I,3A,3B,3G,3L
"A,B,C,E,G,H,I,K",3C,3H,3E,3K,3A,3B,3G,3I
"A,B,C,E,G,H,I,J",3C,3G,3H,3I,3A,3B,3J,3E
"A,B,C,E,F,J,K,L",3C,3F,3E,3K,3A,3B,3J,3L
"A,B,C,E,F,I,K,L",3C,3F,3E,3K,3A,3B,3I,3L
"A,B,C,E,F,I,J,L",3C,3F,3E,3I,3A,3B,3J,3L
"A,B,C,E,F,I,J,K",3C,3F,3E,3K,3A,3B,3J,3I
"A,B,C,E,F,H,K,L",3C,3F,3H,3K,3A,3B,3E,3L
"A,B,C,E,F,H,J,L",3C,3F,3H,3E,3A,3B,3J,3L
"A,B,C,E,F,H,J,K",3C,3F,3H,3K,3A,3B,3J,3E
"A,B,C,E,F,H,I,L",3C,3F,3H,3I,3A,3B,3E,3L
"A,B,C,E,F,H,I,K",3C,3F,3H,3K,3A,3B,3E,3I
"A,B,C,E,F,H,I,J",3C,3F,3H,3I,3A,3B,3J,3E
"A,B,C,E,F,G,K,L",3C,3F,3E,3K,3A,3B,3G,3L
"A,B,C,E,F,G,J,L",3C,3F,3E,3J,3A,3B,3G,3L
"A,B,C,E,F,G,J,K",3C,3F,3E,3K,3A,3B,3G,3J
"A,B,C,E,F,G,I,L",3C,3F,3E,3I,3A,3B,3G,3L
"A,B,C,E,F,G,I,K",3C,3F,3E,3K,3A,3B,3G,3I
"A,B,C,E,F,G,I,J",3C,3F,3E,3J,3A,3B,3G,3I
"A,B,C,E,F,G,H,L",3C,3F,3H,3E,3A,3B,3G,3L
"A,B,C,E,F,G,H,K",3C,3F,3H,3K,3A,3B,3G,3E
"A,B,C,E,F,G,H,J",3C,3F,3H,3J,3A,3B,3G,3E
"A,B,C,E,F,G,H,I",3C,3F,3H,3I,3A,3B,3G,3E
"A,B,C,D,I,J,K,L",3C,3D,3I,3K,3A,3B,3J,3L
"A,B,C,D,H,J,K,L",3C,3D,3H,3K,3A,3B,3J,3L
"A,B,C,D,H,I,K,L",3C,3D,3H,3K,3A,3B,3I,3L
"A,B,C,D,H,I,J,L",3C,3D,3H,3I,3A,3B,3J,3L
"A,B,C,D,H,I,J,K",3C,3D,3H,3K,3A,3B,3J,3I
"A,B,C,D,G,J,K,L",3D,3G,3C,3K,3A,3B,3J,3L
"A,B,C,D,G,I,K,L",3C,3D,3I,3K,3A,3B,3G,3L
"A,B,C,D,G,I,J,L",3D,3G,3C,3I,3A,3B,3J,3L
"A,B,C,D,G,I,J,K",3D,3G,3C,3K,3A,3B,3J,3I
"A,B,C,D,G,H,K,L",3C,3D,3H,3K,3A,3B,3G,3L
"A,B,C,D,G,H,J,L",3C,3D,3H,3J,3A,3B,3G,3L
"A,B,C,D,G,H,J,K",3C,3D,3H,3K,3A,3B,3G,3J
"A,B,C,D,G,H,I,L",3C,3D,3H,3I,3A,3B,3G,3L
"A,B,C,D,G,H,I,K",3C,3D,3H,3K,3A,3B,3G,3I
"A,B,C,D,G,H,I,J",3C,3D,3H,3J,3A,3B,3G,3I
"A,B,C,D,F,J,K,L",3D,3F,3C,3K,3A,3B,3J,3L
"A,B,C,D,F,I,K,L",3D,3F,3C,3K,3A,3B,3I,3L
"A,B,C,D,F,I,J,L",3D,3F,3C,3I,3A,3B,3J,3L
"A,B,C,D,F,I,J,K",3D,3F,3C,3K,3A,3B,3J,3I
"A,B,C,D,F,H,K,L",3C,3D,3H,3K,3A,3B,3F,3L
"A,B,C,D,F,H,J,L",3D,3F,3C,3H,3A,3B,3J,3L
"A,B,C,D,F,H,J,K",3C,3F,3H,3K,3A,3B,3J,3D
"A,B,C,D,F,H,I,L",3C,3D,3H,3I,3A,3B,3F,3L
"A,B,C,D,F,H,I,K",3C,3D,3H,3K,3A,3B,3F,3I
"A,B,C,D,F,H,I,J",3C,3F,3H,3I,3A,3B,3J,3D
"A,B,C,D,F,G,K,L",3D,3F,3C,3K,3A,3B,3G,3L
"A,B,C,D,F,G,J,L",3D,3F,3C,3J,3A,3B,3G,3L
"A,B,C,D,F,G,J,K",3D,3F,3C,3K,3A,3B,3G,3J
"A,B,C,D,F,G,I,L",3D,3F,3C,3I,3A,3B,3G,3L
"A,B,C,D,F,G,I,K",3D,3F,3C,3K,3A,3B,3G,3I
"A,B,C,D,F,G,I,J",3D,3F,3C,3J,3A,3B,3G,3I
"A,B,C,D,F,G,H,L",3D,3F,3C,3H,3A,3B,3G,3L
"A,B,C,D,F,G,H,K",3C,3F,3H,3K,3A,3B,3G,3D
"A,B,C,D,F,G,H,J",3C,3F,3H,3J,3A,3B,3G,3D
"A,B,C,D,F,G,H,I",3C,3F,3H,3I,3A,3B,3G,3D
"A,B,C,D,E,J,K,L",3C,3D,3E,3K,3A,3B,3J,3L
"A,B,C,D,E,I,K,L",3C,3D,3E,3K,3A,3B,3I,3L
"A,B,C,D,E,I,J,L",3C,3D,3E,3I,3A,3B,3J,3L
"A,B,C,D,E,I,J,K",3C,3D,3E,3K,3A,3B,3J,3I
"A,B,C,D,E,H,K,L",3C,3D,3H,3K,3A,3B,3E,3L
"A,B,C,D,E,H,J,L",3C,3D,3H,3E,3A,3B,3J,3L
"A,B,C,D,E,H,J,K",3C,3D,3H,3K,3A,3B,3J,3E
"A,B,C,D,E,H,I,L",3C,3D,3H,3I,3A,3B,3E,3L
"A,B,C,D,E,H,I,K",3C,3D,3H,3K,3A,3B,3E,3I
"A,B,C,D,E,H,I,J",3C,3D,3H,3I,3A,3B,3J,3E
"A,B,C,D,E,G,K,L",3C,3D,3E,3K,3A,3B,3G,3L
"A,B,C,D,E,G,J,L",3C,3D,3E,3J,3A,3B,3G,3L
"A,B,C,D,E,G,J,K",3C,3D,3E,3K,3A,3B,3G,3J
"A,B,C,D,E,G,I,L",3C,3D,3E,3I,3A,3B,3G,3L
"A,B,C,D,E,G,I,K",3C,3D,3E,3K,3A,3B,3G,3I
"A,B,C,D,E,G,I,J",3C,3D,3E,3J,3A,3B,3G,3I
"A,B,C,D,E,G,H,L",3C,3D,3H,3E,3A,3B,3G,3L
"A,B,C,D,E,G,H,K",3C,3D,3H,3K,3A,3B,3G,3E
"A,B,C,D,E,G,H,J",3C,3D,3H,3J,3A,3B,3G,3E
"A,B,C,D,E,G,H,I",3C,3D,3H,3I,3A,3B,3G,3E
"A,B,C,D,E,F,K,L",3D,3F,3C,3K,3A,3B,3E,3L
"A,B,C,D,E,F,J,L",3D,3F,3C,3E,3A,3B,3J,3L
"A,B,C,D,E,F,J,K",3D,3F,3C,3K,3A,3B,3J,3E
"A,B,C,D,E,F,I,L",3D,3F,3C,3I,3A,3B,3E,3L
"A,B,C,D,E,F,I,K",3D,3F,3C,3K,3A,3B,3E,3I
"A,B,C,D,E,F,I,J",3D,3F,3C,3I,3A,3B,3J,3E
"A,B,C,D,E,F,H,L",3C,3D,3H,3E,3A,3B,3F,3L
"A,B,C,D,E,F,H,K",3C,3F,3H,3K,3A,3B,3E,3D
"A,B,C,D,E,F,H,J",3C,3F,3H,3E,3A,3B,3J,3D
"A,B,C,D,E,F,H,I",3C,3F,3H,3I,3A,3B,3E,3D
"A,B,C,D,E,F,G,L",3D,3F,3C,3E,3A,3B,3G,3L
"A,B,C,D,E,F,G,K",3D,3F,3C,3K,3A,3B,3G,3E
"A,B,C,D,E,F,G,J",3D,3F,3C,3J,3A,3B,3G,3E
"A,B,C,D,E,F,G,I",3D,3F,3C,3I,3A,3B,3G,3E
"A,B,C,D,E,F,G,H",3C,3F,3H,3E,3A,3B,3G,3D
